rat_round,rat,r_cnt,price,price_$,dist_mi,dist_km,time_min,time_sec,name,id,score,rank
4,3.9,184,20,$$,0.5,0.779,4,229,French #260,Rest_260,0,NA
4,4.1,10,45,$$$,0.3,0.475,3,196,French #261,Rest_261,0,NA
4,4.1,1173,20,$$,0.4,0.582,4,214,French #262,Rest_262,0,NA
4,3.8,603,20,$$,0.2,0.315,2,120,French #263,Rest_263,0,NA
4,3.9,1270,20,$$,0.4,0.591,3,162,French #264,Rest_264,0,NA
4,3.8,664,20,$$,0.3,0.48,3,179,French #265,Rest_265,0,NA
3.5,3.7,202,45,$$$,0.3,0.522,3,154,French #266,Rest_266,0,NA
3.5,3.7,849,20,$$,0.4,0.681,4,221,French #267,Rest_267,0,NA
3.5,3.6,363,20,$$,0.4,0.711,4,230,French #268,Rest_268,0,NA
3,3.2,296,20,$$,0.4,0.576,3,202,French #269,Rest_269,0,NA
3.5,3.6,29,20,$$,0.4,0.583,4,211,French #270,Rest_270,0,NA
4,4,2,10,$,0.7,1.192,5,298,French #271,Rest_271,0,NA
3,3.1,622,20,$$,0.4,0.653,4,218,French #272,Rest_272,0,NA
3.5,3.5,2,20,$$,0.1,0.088,2,127,French #273,Rest_273,0,NA
4,3.9,407,20,$$,1.8,2.913,9,553,French #274,Rest_274,0,NA
3.5,3.7,261,20,$$,1.2,1.94,7,443,French #275,Rest_275,0,NA
4,3.8,645,20,$$,1,1.585,7,425,French #276,Rest_276,0,NA
3.5,3.6,205,20,$$,1,1.588,7,406,French #277,Rest_277,0,NA
4,3.8,1388,20,$$,5.2,8.297,12,726,French #278,Rest_278,0,NA
3.5,3.4,58,20,$$,5.5,8.775,14,848,French #279,Rest_279,0,NA
3.5,3.4,202,10,$,5.3,8.467,14,829,French #280,Rest_280,0,NA
3.5,3.5,65,20,$$,5.8,9.404,13,797,French #281,Rest_281,0,NA
3.5,3.6,484,20,$$,6,9.693,15,878,French #282,Rest_282,0,NA
3.5,3.7,151,20,$$,7.3,11.739,15,926,French #283,Rest_283,0,NA
3.5,3.7,10,20,$$,6.7,10.861,13,796,French #284,Rest_284,0,NA
4,4,75,10,$,10,16.171,18,1106,French #285,Rest_285,0,NA
3.5,3.6,66,20,$$,12.4,19.981,21,1259,French #286,Rest_286,0,NA
3.5,3.5,748,20,$$,13.7,21.969,22,1333,French #287,Rest_287,0,NA
4,3.8,162,20,$$,20.5,33.069,36,2168,French #288,Rest_288,0,NA
3.5,3.7,355,20,$$,14.8,23.774,26,1586,French #289,Rest_289,0,NA
3.5,3.7,21,20,$$,14.6,23.553,26,1544,French #290,Rest_290,0,NA
2.5,2.3,8,20,$$,15.3,24.551,25,1508,French #291,Rest_291,0,NA
2,2.1,134,20,$$,14.1,22.649,29,1766,French #292,Rest_292,0,NA
2,1.8,198,20,$$,14.2,22.775,30,1823,French #293,Rest_293,0,NA
3.5,3.5,141,10,$,8.8,14.234,17,1002,French #294,Rest_294,0,NA
4,4.2,17,20,$$,1.6,2.519,7,431,French #295,Rest_295,0,NA
4,4,116,20,$$,0.9,1.384,5,295,French #296,Rest_296,0,NA
4,3.9,53,20,$$,5.6,8.993,16,965,French #297,Rest_297,0,NA
4,4.2,6,20,$$,5.8,9.392,17,1027,French #298,Rest_298,0,NA
3.5,3.7,220,20,$$,5.6,9.001,16,977,French #299,Rest_299,0,NA
4,4,259,20,$$,5.7,9.252,18,1072,French #300,Rest_300,0,NA
3.5,3.5,338,20,$$,5.6,8.982,16,974,French #301,Rest_301,0,NA
3.5,3.6,293,20,$$,5.5,8.923,16,937,French #302,Rest_302,0,NA
4,4.1,114,45,$$$,6.6,10.696,17,1030,French #303,Rest_303,0,NA
4,3.9,233,20,$$,6.1,9.783,17,991,French #304,Rest_304,0,NA
3.5,3.3,175,10,$,9,14.534,18,1086,French #305,Rest_305,0,NA
3.5,3.5,17,20,$$,9,14.559,19,1159,French #306,Rest_306,0,NA
5,5,1,20,$$,13.5,21.664,24,1423,French #307,Rest_307,0,NA
3.5,3.5,65,20,$$,16.6,26.693,25,1502,French #308,Rest_308,0,NA
3,3.2,35,20,$$,16.6,26.75,25,1519,French #309,Rest_309,0,NA
2.5,2.3,111,20,$$,16.6,26.683,26,1531,French #310,Rest_310,0,NA
4,4.1,166,45,$$$,14.6,23.494,24,1450,French #311,Rest_311,0,NA
4,4.1,50,20,$$,4.2,6.801,15,924,French #312,Rest_312,0,NA
4,3.8,176,20,$$,4.1,6.591,15,925,French #313,Rest_313,0,NA
4.5,4.3,65,45,$$$,1.5,2.405,7,418,French #314,Rest_314,0,NA
4,4.1,311,20,$$,1.5,2.378,7,426,French #315,Rest_315,0,NA
4,4,263,20,$$,1.5,2.38,7,415,French #316,Rest_316,0,NA
3.5,3.7,28,20,$$,2.6,4.202,11,642,French #317,Rest_317,0,NA
3.5,3.5,55,20,$$,2.6,4.254,11,652,French #318,Rest_318,0,NA
3.5,3.4,135,20,$$,2.6,4.247,11,649,French #319,Rest_319,0,NA
3.5,3.4,64,20,$$,6,9.636,16,930,French #320,Rest_320,0,NA
4,3.8,86,20,$$,6.8,10.894,17,1021,French #321,Rest_321,0,NA
4,4.2,28,10,$,13,20.963,24,1451,French #322,Rest_322,0,NA
3.5,3.4,7,20,$$,12.7,20.518,24,1446,French #323,Rest_323,0,NA
3.5,3.6,40,20,$$,12.3,19.792,23,1385,French #324,Rest_324,0,NA
3,3,495,20,$$,12.4,19.909,23,1380,French #325,Rest_325,0,NA
3.5,3.4,516,20,$$,12.5,20.052,23,1380,French #326,Rest_326,0,NA
3.5,3.6,50,20,$$,10.4,16.809,18,1108,French #327,Rest_327,0,NA
3.5,3.5,44,20,$$,5,7.985,18,1076,French #328,Rest_328,0,NA
3.5,3.7,312,20,$$,17.8,28.695,29,1730,French #329,Rest_329,0,NA
4.5,4.5,104,20,$$,18,28.972,30,1782,French #330,Rest_330,0,NA
4,4.1,497,20,$$,19.6,31.491,29,1757,French #331,Rest_331,0,NA
4,4.1,79,10,$,12.5,20.184,23,1390,French #332,Rest_332,0,NA
3.5,3.3,3,20,$$,12.9,20.827,22,1316,French #333,Rest_333,0,NA
4,4.2,92,20,$$,5.4,8.65,13,768,French #334,Rest_334,0,NA
3.5,3.7,181,20,$$,5.4,8.722,13,780,French #335,Rest_335,0,NA
4,3.9,69,20,$$,20.1,32.327,30,1792,French #336,Rest_336,0,NA
4.5,4.4,33,10,$,14.3,23.075,25,1525,French #337,Rest_337,0,NA
4.5,4.5,2,20,$$,21.7,34.852,32,1920,French #338,Rest_338,0,NA
4,4.1,201,20,$$,14.3,23.085,25,1482,French #339,Rest_339,0,NA
4,3.8,83,20,$$,14.3,23.02,24,1463,French #340,Rest_340,0,NA
3.5,3.7,283,20,$$,14.4,23.152,24,1469,French #341,Rest_341,0,NA
4,4.2,45,20,$$,10.2,16.366,21,1264,French #342,Rest_342,0,NA
4,3.9,298,45,$$$,10.3,16.632,20,1225,French #343,Rest_343,0,NA
4,3.8,445,20,$$,10.9,17.534,21,1244,French #344,Rest_344,0,NA
3.5,3.7,213,45,$$$,10.4,16.704,21,1241,French #345,Rest_345,0,NA
3.5,3.4,297,20,$$,11,17.749,21,1276,French #346,Rest_346,0,NA
3.5,3.3,124,20,$$,11.7,18.886,21,1282,French #347,Rest_347,0,NA
3.5,3.3,80,20,$$,10.1,16.211,20,1218,French #348,Rest_348,0,NA
3,3.2,577,20,$$,10.3,16.554,22,1349,French #349,Rest_349,0,NA
3,3.1,541,20,$$,11.1,17.879,21,1289,French #350,Rest_350,0,NA
3.5,3.3,521,20,$$,11,17.626,21,1258,French #351,Rest_351,0,NA
4,3.8,95,20,$$,10.4,16.806,20,1184,French #352,Rest_352,0,NA
3.5,3.4,173,45,$$$,10.4,16.807,20,1201,French #353,Rest_353,0,NA
3.5,3.5,401,20,$$,10.7,17.217,21,1230,French #354,Rest_354,0,NA
