rat_round,rat,r_cnt,price,price_$,dist_mi,dist_km,time_min,time_sec,name,id,score,rank
3,3.2,296,20,$$,4,6.678,14,846,Restaurant 225,Rest_225,0,0
3.5,3.5,412,20,$$,4,6.96,19,1136,Restaurant 226,Rest_226,0,0
4,3.9,87,20,$$,5,8.299,14,858,Restaurant 227,Rest_227,0,0
4,3.8,618,45,$$$,5,7.684,12,742,Restaurant 228,Rest_228,0,0
3.5,3.7,28,20,$$,4,5.901,13,788,Restaurant 229,Rest_229,0,0
4,3.9,115,20,$$,5,8.362,14,866,Restaurant 230,Rest_230,0,0
4,4,79,20,$$,5,8.797,14,847,Restaurant 231,Rest_231,0,0
4,4.2,443,45,$$$,3,5.518,14,822,Restaurant 232,Rest_232,0,0
4,3.8,204,20,$$,5,8.618,15,901,Restaurant 233,Rest_233,0,0
3.5,3.6,225,20,$$,5,7.322,15,884,Restaurant 234,Rest_234,0,0
4,3.8,445,20,$$,8,12.855,16,977,Restaurant 235,Rest_235,0,0
4,4.1,54,20,$$,5,7.698,15,905,Restaurant 236,Rest_236,0,0
4,4.1,964,45,$$$,6,9.969,19,1159,Restaurant 237,Rest_237,0,0
4.5,4.4,32,20,$$,7,10.656,14,854,Restaurant 238,Rest_238,0,0
4,4.2,132,20,$$,4,6.82,18,1072,Restaurant 239,Rest_239,0,0
4,4.1,39,20,$$,5,7.701,14,841,Restaurant 240,Rest_240,0,0
4,3.8,189,20,$$,5,8.15,14,848,Restaurant 241,Rest_241,0,0
4,3.8,592,45,$$$,4,5.963,12,712,Restaurant 242,Rest_242,0,0
4,4.1,114,45,$$$,2,2.758,7,427,Restaurant 243,Rest_243,0,0
3.5,3.6,154,20,$$,4,7.022,12,746,Restaurant 244,Rest_244,0,0
3.5,3.7,402,45,$$$,2,3.595,9,528,Restaurant 245,Rest_245,0,0
4.5,4.3,567,45,$$$,5,8.18,14,816,Restaurant 246,Rest_246,0,0
3.5,3.6,42,20,$$,4,5.742,11,659,Restaurant 247,Rest_247,0,0
4,3.8,332,20,$$,4,6.37,18,1100,Restaurant 248,Rest_248,0,0
4,3.8,26,20,$$,4,6.559,12,697,Restaurant 249,Rest_249,0,0
3.5,3.4,101,20,$$,4,6.458,10,577,Restaurant 250,Rest_250,0,0
3.5,3.7,199,20,$$,4,6.134,15,876,Restaurant 251,Rest_251,0,0
4,3.9,137,20,$$,5,7.781,14,814,Restaurant 252,Rest_252,0,0
4,3.9,149,20,$$,5,7.911,14,822,Restaurant 253,Rest_253,0,0
4,4,249,20,$$,5,7.388,17,1016,Restaurant 254,Rest_254,0,0
3.5,3.5,748,20,$$,10,15.33,16,965,Restaurant 255,Rest_255,0,0
3.5,3.4,59,20,$$,3,4.37,10,608,Restaurant 256,Rest_256,0,0
3,3,343,20,$$,4,6.54,11,637,Restaurant 257,Rest_257,0,0
3.5,3.4,94,20,$$,3,5.604,9,569,Restaurant 258,Rest_258,0,0
3.5,3.4,350,20,$$,4,7.07,13,805,Restaurant 259,Rest_259,0,0
4,4.1,743,45,$$$,5,7.64,15,886,Restaurant 260,Rest_260,0,0
4,4,581,45,$$$,4,5.963,12,712,Restaurant 261,Rest_261,0,0
4,4.1,78,20,$$,4,6.557,14,854,Restaurant 262,Rest_262,0,0
3.5,3.4,98,20,$$,3,5.423,9,558,Restaurant 263,Rest_263,0,0
4,3.9,825,45,$$$,5,7.547,14,863,Restaurant 264,Rest_264,0,0
4,4.2,126,20,$$,5,7.275,15,893,Restaurant 265,Rest_265,0,0
4,4.2,245,20,$$,5,7.54,17,1030,Restaurant 266,Rest_266,0,0
3,3.1,131,20,$$,2,3.272,9,520,Restaurant 267,Rest_267,0,0
3.5,3.3,345,20,$$,5,7.305,11,686,Restaurant 268,Rest_268,0,0
4,3.8,150,20,$$,3,4.916,14,829,Restaurant 269,Rest_269,0,0
4,4.1,129,20,$$,5,7.758,13,805,Restaurant 270,Rest_270,0,0
3.5,3.6,148,20,$$,3,5.322,11,674,Restaurant 271,Rest_271,0,0
3.5,3.6,205,20,$$,3,5.065,12,730,Restaurant 272,Rest_272,0,0
4.5,4.4,174,45,$$$,2,2.83,8,468,Restaurant 273,Rest_273,0,0
4.5,4.3,128,20,$$,5,7.6,14,848,Restaurant 274,Rest_274,0,0
3.5,3.6,363,20,$$,4,6.542,14,829,Restaurant 275,Rest_275,0,0
4,4,195,20,$$,4,5.789,14,865,Restaurant 276,Rest_276,0,0
4,3.9,801,45,$$$,5,7.297,12,737,Restaurant 277,Rest_277,0,0
4.5,4.6,91,20,$$,5,8.56,15,890,Restaurant 278,Rest_278,0,0
4,4,36,20,$$,4,6.87,10,578,Restaurant 279,Rest_279,0,0
4,3.9,184,20,$$,4,5.722,13,770,Restaurant 280,Rest_280,0,0
4,3.8,312,20,$$,5,8.038,13,755,Restaurant 281,Rest_281,0,0
4.5,4.4,72,20,$$,5,7.749,13,782,Restaurant 282,Rest_282,0,0
4.5,4.3,238,45,$$$,2,2.756,7,438,Restaurant 283,Rest_283,0,0
4,4,116,20,$$,3,5.483,12,739,Restaurant 284,Rest_284,0,0
3,3.1,622,20,$$,4,6.6,14,842,Restaurant 285,Rest_285,0,0
4,4,422,20,$$,5,7.425,17,1019,Restaurant 286,Rest_286,0,0
4,4,172,20,$$,4,6,13,766,Restaurant 287,Rest_287,0,0
4,3.8,166,20,$$,3,4.756,12,698,Restaurant 288,Rest_288,0,0
4.5,4.3,68,20,$$,4,6.283,13,756,Restaurant 289,Rest_289,0,0
4,3.9,334,45,$$$,1,2.171,5,305,Restaurant 290,Rest_290,0,0
4,4,263,20,$$,4,6.085,14,818,Restaurant 291,Rest_291,0,0
3.5,3.7,10,20,$$,3,4.222,7,428,Restaurant 292,Rest_292,0,0
3.5,3.7,819,20,$$,8,12.682,17,1014,Restaurant 293,Rest_293,0,0
3.5,3.7,151,20,$$,3,5.1,9,559,Restaurant 294,Rest_294,0,0
4,3.8,223,20,$$,4,6.497,10,629,Restaurant 295,Rest_295,0,0
4,4.2,99,20,$$,4,5.77,12,713,Restaurant 296,Rest_296,0,0
4,4,144,20,$$,3,4.408,12,732,Restaurant 297,Rest_297,0,0
4,3.9,315,20,$$,5,7.432,12,736,Restaurant 298,Rest_298,0,0
4.5,4.4,49,20,$$,4,5.963,12,738,Restaurant 299,Rest_299,0,0
3.5,3.7,529,20,$$,5,8.439,14,846,Restaurant 300,Rest_300,0,0
3.5,3.5,512,20,$$,5,7.965,12,740,Restaurant 301,Rest_301,0,0
3.5,3.7,278,20,$$,3,4.749,12,697,Restaurant 302,Rest_302,0,0
3.5,3.6,361,20,$$,4,6.984,10,626,Restaurant 303,Rest_303,0,0
3,3.2,237,20,$$,2,2.791,8,464,Restaurant 304,Rest_304,0,0
3.5,3.5,65,20,$$,2,2.44,7,414,Restaurant 305,Rest_305,0,0
3.5,3.7,261,20,$$,3,4.541,11,659,Restaurant 306,Rest_306,0,0
4,4.1,311,20,$$,4,6.003,14,836,Restaurant 307,Rest_307,0,0
4,4,468,20,$$,5,8.438,14,846,Restaurant 308,Rest_308,0,0
4.5,4.3,131,20,$$,3,5.54,12,718,Restaurant 309,Rest_309,0,0
4.5,4.3,367,20,$$,5,8.273,15,870,Restaurant 310,Rest_310,0,0
4,3.9,315,20,$$,4,6.493,11,682,Restaurant 311,Rest_311,0,0
4,4,163,20,$$,3,4.367,11,650,Restaurant 312,Rest_312,0,0
3.5,3.7,256,20,$$,3,5.09,9,569,Restaurant 313,Rest_313,0,0
4,4.2,264,20,$$,3,4.613,14,865,Restaurant 314,Rest_314,0,0
4,3.9,463,20,$$,5,7.385,14,812,Restaurant 315,Rest_315,0,0
3.5,3.4,64,20,$$,1,2.096,5,308,Restaurant 316,Rest_316,0,0
4,3.8,603,20,$$,5,8.444,15,874,Restaurant 317,Rest_317,0,0
4,3.9,548,20,$$,4,6.224,16,974,Restaurant 318,Rest_318,0,0
4,4.1,67,20,$$,2,3.911,10,571,Restaurant 319,Rest_319,0,0
4,3.9,340,20,$$,4,5.868,12,691,Restaurant 320,Rest_320,0,0
4,4.2,292,20,$$,3,5.54,13,803,Restaurant 321,Rest_321,0,0
4.5,4.5,84,20,$$,3,5.432,11,686,Restaurant 322,Rest_322,0,0
3.5,3.7,475,20,$$,4,6.53,11,689,Restaurant 323,Rest_323,0,0
4,3.8,86,20,$$,2,3.354,7,400,Restaurant 324,Rest_324,0,0
4.5,4.7,121,20,$$,4,6.315,13,760,Restaurant 325,Rest_325,0,0
5,4.9,43,20,$$,3,5.401,14,812,Restaurant 326,Rest_326,0,0
3.5,3.6,867,20,$$,5,7.483,18,1052,Restaurant 327,Rest_327,0,0
4.5,4.3,287,20,$$,4,6.227,12,744,Restaurant 328,Rest_328,0,0
4,3.9,929,45,$$$,3,5.384,10,619,Restaurant 329,Rest_329,0,0
4,3.8,352,20,$$,3,5.392,10,586,Restaurant 330,Rest_330,0,0
4,3.9,1243,45,$$$,5,7.871,15,872,Restaurant 331,Rest_331,0,0
3.5,3.6,668,20,$$,5,7.432,13,751,Restaurant 332,Rest_332,0,0
5,5,7,20,$$,4,6.643,11,680,Restaurant 333,Rest_333,0,0
4,3.9,407,20,$$,3,5.169,11,661,Restaurant 334,Rest_334,0,0
4,4.1,601,20,$$,5,7.613,15,881,Restaurant 335,Rest_335,0,0
4,3.8,645,20,$$,4,6.242,14,845,Restaurant 336,Rest_336,0,0
4.5,4.5,162,20,$$,3,4.447,11,688,Restaurant 337,Rest_337,0,0
4.5,4.6,16,20,$$,2,3.826,10,586,Restaurant 338,Rest_338,0,0
4,3.8,664,20,$$,4,6.052,14,839,Restaurant 339,Rest_339,0,0
3.5,3.4,58,20,$$,0,0.461,2,140,Restaurant 340,Rest_340,0,0
3.5,3.7,497,20,$$,3,4.375,11,653,Restaurant 341,Rest_341,0,0
4.5,4.3,278,20,$$,3,5.454,11,635,Restaurant 342,Rest_342,0,0
3.5,3.7,1233,45,$$$,4,6.469,12,710,Restaurant 343,Rest_343,0,0
3.5,3.4,789,20,$$,4,7.228,12,694,Restaurant 344,Rest_344,0,0
4,4,767,45,$$$,2,2.436,8,470,Restaurant 345,Rest_345,0,0
4.5,4.3,53,20,$$,2,2.744,8,464,Restaurant 346,Rest_346,0,0
4,3.9,53,20,$$,1,1.708,5,299,Restaurant 347,Rest_347,0,0
